District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,State,District,Latitude,Longitude,sex ratio,Literacy Rate
212,3071029,60900,2941,Bihar,Katihar,25.56565356037151,87.70466083591326,92.0,42.0
213,2001762,23236,1397,Bihar,Madhepura,25.77341929460581,86.8978443983403,91.0,42.0
214,1900661,41342,1668,Bihar,Saharsa,25.821270696721303,86.54670819672135,91.0,42.0
215,3937385,127442,6280,Bihar,Darbhanga,26.146187719298258,85.97387352472099,91.0,46.0
216,4801062,180651,10290,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,90.0,52.0
217,2562012,69375,3707,Bihar,Gopalganj,26.44874364161851,84.34636127167629,102.0,54.0
218,3330464,52935,3834,Bihar,Siwan,26.1736372013652,84.33766552901022,99.0,58.0
219,3951862,94787,4509,Bihar,Saran,25.89656077844312,84.82266287425155,95.0,55.0
220,3495021,70001,4810,Bihar,Vaishali,25.8134703180212,85.39247597173153,89.0,55.0
221,4261566,88021,5379,Bihar,Samastipur,25.793205563909765,85.94833323308269,91.0,50.0
222,2970541,120373,4644,Bihar,Begusarai,25.54302613168723,86.12560144032932,89.0,52.0
223,1666886,40641,1580,Bihar,Khagaria,25.53558891454964,86.56593256351037,89.0,46.0
224,3037766,174534,6764,Bihar,Bhagalpur,25.277192885375477,87.04213814229242,88.0,52.0
225,2034763,62359,1704,Bihar,Banka,24.832355642023337,86.8664916342413,91.0,47.0
226,1367765,90461,2653,Bihar,Munger,25.198537962962963,86.54173672839504,88.0,59.0
227,1000912,44491,1186,Bihar,Lakhisarai,25.183449321266963,86.12825701357468,90.0,51.0
228,636342,20065,631,Bihar,Sheikhpura,25.12472436548223,85.77839390862943,93.0,52.0
229,2877653,101378,4156,Bihar,Nalanda,25.229345508982053,85.48053113772461,92.0,53.0
230,5838465,546859,40692,Bihar,Patna,25.40297114503818,85.3198433587787,90.0,59.0
231,2728407,62153,3661,Bihar,Bhojpur,25.50666439393939,84.49407803030304,91.0,59.0
232,1706352,46760,1784,Bihar,Buxar,25.48593018867924,84.08808081760995,92.0,58.0
234,2959918,114893,4594,Bihar,Rohtas,24.99170460829495,83.9350762672811,92.0,61.0
235,2540073,44456,2362,Bihar,Aurangabad,24.774291867469877,84.45986024096379,93.0,58.0
235,2540073,44456,2362,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,93.0,58.0
236,4391418,112617,6856,Bihar,Gaya,24.7266541547278,84.94291217765044,94.0,52.0
237,2219146,31162,1841,Bihar,Nawada,24.825708836206903,85.61594568965519,94.0,49.0
238,1760405,32633,1839,Bihar,Jamui,24.78418380462726,86.26316298200514,92.0,49.0
